timestamp,record_type,task_id,task_name,task_type,task_complexity,model_name,output_format,stream_active,status,error_message,load_duration_ns,prompt_eval_count,prompt_eval_duration_ns,prompt_eval_rate_tps,decode_token_count,decode_duration_ns,decode_rate_tps,total_duration_ns,total_duration_ms,thinking_chars,response_chars,avg_cpu_power_mw,avg_gpu_power_mw,avg_ane_power_mw,estimated_total_energy_mwh,syntax_score,syntax_status,syntax_details,syntax_format,semantic_score,semantic_method,semantic_details
2026-06-26T14:29:22.282,summary,1,User List,generation,simple,mlx-community/gemma-3-4b-it-qat-4bit,TONL,False,success,,,125,,,100,,,,,0,202,996.5,6.5,0.0,2.284657,0.0,no_blocks,tonl minimal parse,TONL,0.7050710022449493,embedding,max_cosine_norm
2026-06-26T14:29:30.047,summary,2,Nested Product Conversion,conversion,nested,mlx-community/gemma-3-4b-it-qat-4bit,TONL,False,success,,,177,,,67,,,,,0,143,156.0,21.0,0.0,0.307284,0.0,no_blocks,tonl minimal parse,TONL,0.9156975448131561,embedding,max_cosine_norm
2026-06-26T14:29:52.353,summary,3,Weather Report Extended v2,generation,highly-nested-multimodal,mlx-community/gemma-3-4b-it-qat-4bit,TONL,False,success,,,568,,,712,,,,,0,1934,120.0,27.5,0.0,0.853258,0.0,no_blocks,tonl minimal parse,TONL,0.681641697883606,embedding,max_cosine_norm
