timestamp,record_type,task_id,task_name,task_type,task_complexity,model_name,output_format,stream_active,status,error_message,load_duration_ns,prompt_eval_count,prompt_eval_duration_ns,prompt_eval_rate_tps,decode_token_count,decode_duration_ns,decode_rate_tps,total_duration_ns,total_duration_ms,thinking_chars,response_chars,avg_cpu_power_mw,avg_gpu_power_mw,avg_ane_power_mw,estimated_total_energy_mwh,syntax_score,syntax_status,syntax_details,syntax_format,semantic_score,semantic_method,semantic_details
2026-06-26T14:27:10.710,summary,1,User List,generation,simple,mlx-community/gemma-3-4b-it-qat-4bit,XML,False,success,,,123,,,124,,,,,0,266,154.0,21.0,0.0,0.301702,0.99,"partial: not well-formed (invalid token): line 1, column 0",xml parse,XML,0.7556913197040558,embedding,max_cosine_norm
2026-06-26T14:27:19.523,summary,2,Nested Product Conversion,conversion,nested,mlx-community/gemma-3-4b-it-qat-4bit,XML,False,success,,,175,,,67,,,,,0,143,236.0,34.0,0.0,0.542404,0.99,"partial: not well-formed (invalid token): line 1, column 0",xml parse,XML,0.7197112292051315,embedding,max_cosine_norm
2026-06-26T14:27:48.186,summary,3,Weather Report Extended v2,generation,highly-nested-multimodal,mlx-community/gemma-3-4b-it-qat-4bit,XML,False,success,,,566,,,830,,,,,0,2382,68.5,5.5,0.0,0.559527,0.99,"partial: not well-formed (invalid token): line 1, column 0",xml parse,XML,0.8206774294376373,embedding,max_cosine_norm
